,Samples,x,y,Maturidade,SiO2,TiO2,Sc,V,La,Ce,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,S,Co,Ni,Ba,Sr,Hf,Ta,Th,U,K,Nd,Sm,Eu,Tb,Dy,Ho,Tm,Yb,Lu,Zr,Ir,Au,O,Cr,Mn
83,67480,"469133,863323694","-267803,683965746",31.0,,0.41,7.1,14.0,7.3,18,29.01,,4.66,0.06,4.2,16.54,0.42,0.06,0.13,0.03,14.9,,90.0,,1.9,0.3,1.1,0.49,,,3.3,1.16,0.66,3.9,,,2.4,0.32,,,,,,
84,67510,"469133,858323694","-267803,838965746",8.8,,,8.18,20.0,3.42,9.24,28.6,55.0,4.1,15.0,4.0,15.7,0.39,,500.0,49.0,7.18,55.0,45.0,155.0,1.24,0.192,0.51,0.158,,,1.71,0.968,0.39,,,,1.34,0.191,,,,,500.0,493.0
85,67600,"469160,723323694","-267805,807965746",45.0,,0.42,6.6,,6.7,16.5,28.93,18.0,4.09,0.06,4.75,16.4,0.44,0.07,0.06,0.04,14.4,180.0,,,1.99,,,,,11.1,3.10,1.29,0.62,4.3,0.86,,2.28,0.33,,,,,,
86,68120,"468715,818323694","-275173,645965746",61.0,,0.6,9.8,,13.1,33.0,27.6,,5.2,,6.0,17.5,2.0,,0.7,,30.0,,140.0,,4.4,0.5,2.5,,,25,6.6,1.3,1.3,,,,4.5,0.7,,,,,,
87,68500,"468715,980323694","-275159,598965746",85.0,,0.58,9.2,,13.6,35.5,26.65,56.0,5.48,0.07,6.28,15.35,0.47,0.11,0.12,0.08,34.7,560.0,,,4.5,0.8,2.4,,,,6.2,1.20,1.28,,,,4.4,0.62,,,,,,
88,68820,"468747,639323694","-275155,933965746",84.0,44.5,0.5,9.8,,13.3,33.2,26.2,,5.4,0.12,6.13,15.3,0.48,0.16,0.7,,28.5,,160.0,,4.4,0.5,2.5,,,26,6.7,1.2,1.2,,,,4.9,0.7,,,,,,
89,68840,"468744,805323694","-275151,006965746",70.0,45.08,0.59,9.2,14.0,14,,26.49,68.0,5.65,0.07,6.27,15.3,0.41,0.11,0.12,0.08,34.0,680.0,120.0,113.0,,,,,,,,,,,,,3.8,,,,,,,
90,69920,"468940,479323694","-274904,565965746",90.0,45.2,0.59,10.0,19.0,,,26.2,0.14,5.54,0.07,6.35,15.35,0.53,0.14,0.12,,21.0,348.0,130.0,210.0,,,,,,,,,,,,,3.6,,,,,,,
91,69940,"468946,593323694","-274893,152965746",85.0,44.67,0.63,10.0,,14.2,37.0,26.3,0.13,5.76,0.07,6.35,15.57,0.42,0.14,0.12,,32.1,470.0,,,5.3,,,,,24.0,6.8,1.28,1.41,9.0,,,4.81,0.68,,,,,,
92,69960,"468941,098323694","-274902,154965746",92.0,44.76,0.6,11.8,29.0,,,26.35,0.13,5.76,0.07,6.33,15.55,0.41,0.14,0.12,,47.0,600.0,140.0,135.0,,,,,,,,,,,,,3.7,,,,,,,
93,70160,"932927,436360179","612276,412911061",,40.34,8.99,,,,,11.6,0.46,17.01,0.23,9.79,10.98,0.32,0.08,0.08,0.12,,161.0,,168.0,,,,,,,,,,,,,,,,,,,,
94,70180,"932921,161760179","612328,933811061",47.0,40.87,8.11,,,8.09,24.8,12.3,0.44,16.37,0.24,9.82,11.05,0.35,0.08,0.06,0.11,,191.0,98.3,170.0,,,,0.28,,,8.05,1.66,,13.2,,,7.02,,,,,,,
95,70270,"933249,905660179","612274,937211061",56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,70311,"934301,573260179","612413,865111061",39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,70320,"934301,562460179","612413,898011061",42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,71040,"933503,158560179","611029,418011061",29.0,39.74,9.57,,,,,10.8,0.47,17.73,0.24,9.72,10.72,0.35,0.08,0.07,0.13,,117.0,,165.0,,,,,,,,,,,,,,,,,,,,
99,71060,"933503,158560179","611029,418011061",29.0,40.09,9.32,70.3,,,,10.7,0.49,17.85,0.24,9.92,10.59,0.36,0.08,0.07,0.13,26.3,50.0,,,7.4,1.6,0.6,,,,,,,,,,,,,,,,,
100,71130,"933508,325160179","611026,519011061",33.0,,,,,,,,,,,,,0.0,,625.0,,,,,,,,0.67,0.23,625.0,,,,,,,,,,,,,,,
101,71150,"933509,146260179","611027,655811061",34.0,,,,,,,,,,,,,0.0,,,,,,,,,,0.67,0.23,,,,,,,,,,,,,,,,
